timestamp,ch0,ch1
3708371.636,1,835
3708371.646,81,769
3708371.646,106,753
3708371.65,108,753
3708371.65,90,767
3708371.659,10,829
3708371.659,-14,848
3708371.678,-15,848
3708371.678,2,834
3708371.678,81,769
3708371.678,107,751
3708371.684,106,751
3708371.684,90,766
3708371.69,12,831
3708371.69,-14,849
3708371.699,-16,849
3708371.699,0,834
3708371.707,79,770
3708371.707,105,754
3708371.713,106,754
3708371.713,91,768
3708371.722,11,832
3708371.722,-17,849
3708371.734,-14,849
3708371.734,4,835
3708371.738,81,772
3708371.738,105,754
3708371.747,107,752
3708371.747,90,767
3708371.756,11,831
3708371.756,-13,849
3708371.765,-14,849
3708371.765,3,833
3708371.77,79,771
3708371.77,104,754
3708371.78,107,753
3708371.78,90,767
3708371.787,13,830
3708371.787,-14,848
3708371.815,-16,849
3708371.815,2,832
3708371.818,79,769
3708371.818,105,752
3708371.819,107,752
3708371.819,88,767
3708371.82,9,831
3708371.82,-15,849
3708371.828,-16,849
3708371.828,1,835
3708371.834,80,770
3708371.834,106,753
3708371.843,106,753
3708371.843,87,767
3708371.852,10,831
3708371.852,-15,849
3708371.858,-16,849
3708371.858,1,834
3708371.867,77,771
3708371.867,103,752
3708371.876,105,753
3708371.876,89,769
3708371.884,10,832
3708371.884,-15,851
3708371.891,-17,850
3708371.891,2,837
3708371.917,79,776
3708371.917,105,762
3708371.931,108,763
3708371.931,88,779
3708371.932,11,844
3708371.932,-13,862
3708371.932,-16,864
3708371.932,-1,850
3708371.935,80,785
3708371.935,108,768
